Word 	 	 	 	 Count 
hunting	 	 	 	 3
hurried	 	 	 	 11
hurriedly	 	 	 	 2
hurry	 	 	 	 4
hurrying	 	 	 	 1
hurt	 	 	 	 2
i	 	 	 	 260
idea	 	 	 	 14
if	 	 	 	 72
ignorant	 	 	 	 1
imagine	 	 	 	 2
imitated	 	 	 	 1
immediate	 	 	 	 1
immediately	 	 	 	 3
immense	 	 	 	 1
impatient	 	 	 	 1
important	 	 	 	 3
impossible	 	 	 	 2
improve	 	 	 	 1
in	 	 	 	 351
incessantly	 	 	 	 1
inches	 	 	 	 6
inclined	 	 	 	 1
indeed	 	 	 	 3
indignant	 	 	 	 1
injure	 	 	 	 1
inkstand	 	 	 	 1
inquired	 	 	 	 1
insolence	 	 	 	 1
instantly	 	 	 	 3
instead	 	 	 	 2
insult	 	 	 	 1
interest	 	 	 	 1
interesting	 	 	 	 3
interrupt	 	 	 	 1
interrupted	 	 	 	 5
interrupting	 	 	 	 2
into	 	 	 	 67
introduce	 	 	 	 2
introduced	 	 	 	 1
invent	 	 	 	 1
invented	 	 	 	 1
invitation	 	 	 	 2
invited	 	 	 	 1
involved	 	 	 	 1
irritated	 	 	 	 1
is	 	 	 	 71
it	 	 	 	 362
its	 	 	 	 57
itself	 	 	 	 8
jar	 	 	 	 2
jaws	 	 	 	 1
jogged	 	 	 	 1
join	 	 	 	 9
joined	 	 	 	 2
judging	 	 	 	 1
jumped	 	 	 	 5
jumping	 	 	 	 4
juror	 	 	 	 1
jurors	 	 	 	 3
jury	 	 	 	 9
jurymen	 	 	 	 2
just	 	 	 	 48
justice	 	 	 	 1
keep	 	 	 	 8
keeping	 	 	 	 2
kept	 	 	 	 13
kettle	 	 	 	 1
key	 	 	 	 5
kick	 	 	 	 2
kid	 	 	 	 5
kill	 	 	 	 1
killing	 	 	 	 1
kills	 	 	 	 1
kind	 	 	 	 6
kindly	 	 	 	 1
king	 	 	 	 28
kings	 	 	 	 1
kiss	 	 	 	 1
kissed	 	 	 	 1
kitchen	 	 	 	 2
knave	 	 	 	 7
knee	 	 	 	 1
kneel	 	 	 	 1
knelt	 	 	 	 1
knew	 	 	 	 13
knife	 	 	 	 1
know	 	 	 	 45
knowing	 	 	 	 2
knowledge	 	 	 	 1
known	 	 	 	 1
knows	 	 	 	 2
label	 	 	 	 1
labelled	 	 	 	 1
lady	 	 	 	 2
laid	 	 	 	 2
lamps	 	 	 	 1
land	 	 	 	 1
lap	 	 	 	 2
large	 	 	 	 32
larger	 	 	 	 3
largest	 	 	 	 1
last	 	 	 	 26
lasted	 	 	 	 1
late	 	 	 	 3
latin	 	 	 	 1
latitude	 	 	 	 2
laughed	 	 	 	 1
laughing	 	 	 	 1
lay	 	 	 	 4
lazily	 	 	 	 1
lazy	 	 	 	 1
leading	 	 	 	 1
leaning	 	 	 	 2
leant	 	 	 	 1
leap	 	 	 	 1
learn	 	 	 	 4
learned	 	 	 	 1
learning	 	 	 	 2
learnt	 	 	 	 2
least	 	 	 	 7
leave	 	 	 	 7
leaves	 	 	 	 2
leaving	 	 	 	 1
led	 	 	 	 4
ledge	 	 	 	 1
left	 	 	 	 13
lefthand	 	 	 	 2
legs	 	 	 	 3
length	 	 	 	 1
less	 	 	 	 3
lessen	 	 	 	 1
lesson	 	 	 	 1
lessons	 	 	 	 4
lest	 	 	 	 1
let	 	 	 	 13
lewis	 	 	 	 1
licking	 	 	 	 1
lie	 	 	 	 2
life	 	 	 	 2
lifted	 	 	 	 1
like	 	 	 	 75
liked	 	 	 	 3
likely	 	 	 	 4
limbs	 	 	 	 1
line	 	 	 	 1
linked	 	 	 	 1
list	 	 	 	 2
listen	 	 	 	 4
listeners	 	 	 	 1
lit	 	 	 	 1
little	 	 	 	 120
live	 	 	 	 7
lived	 	 	 	 3
livery	 	 	 	 1
lives	 	 	 	 1
living	 	 	 	 1
lizard	 	 	 	 2
lobster	 	 	 	 5
lobsters	 	 	 	 3
locks	 	 	 	 1
lodging	 	 	 	 1
london	 	 	 	 1
lonely	 	 	 	 2
long	 	 	 	 30
longed	 	 	 	 2
longer	 	 	 	 2
longitude	 	 	 	 2
look	 	 	 	 25
looked	 	 	 	 45
looking	 	 	 	 30
loose	 	 	 	 1
lory	 	 	 	 3
lose	 	 	 	 1
losing	 	 	 	 1
lost	 	 	 	 1
loud	 	 	 	 3
louder	 	 	 	 1
loudly	 	 	 	 2
loveliest	 	 	 	 1
lovely	 	 	 	 2
loving	 	 	 	 1
low	 	 	 	 7
lowing	 	 	 	 1
luckily	 	 	 	 1
lullaby	 	 	 	 1
lying	 	 	 	 8
ma	 	 	 	 1
mabel	 	 	 	 1
machines	 	 	 	 1
mad	 	 	 	 6
made	 	 	 	 29
magic	 	 	 	 1
magpie	 	 	 	 1
majesty	 	 	 	 2
make	 	 	 	 26
makes	 	 	 	 11
making	 	 	 	 8
mallets	 	 	 	 1
man	 	 	 	 1
manage	 	 	 	 6
managed	 	 	 	 3
managing	 	 	 	 1
manner	 	 	 	 1
manners	 	 	 	 1
many	 	 	 	 12
maps	 	 	 	 1
march	 	 	 	 31
marched	 	 	 	 1
mark	 	 	 	 2
marked	 	 	 	 5
mary	 	 	 	 3
master	 	 	 	 2
matter	 	 	 	 8
matters	 	 	 	 2
may	 	 	 	 12
me	 	 	 	 46
mean	 	 	 	 7
meaning	 	 	 	 7
means	 	 	 	 2
meant	 	 	 	 4
meanwhile	 	 	 	 1
measure	 	 	 	 1
meekly	 	 	 	 1
meet	 	 	 	 2
meeting	 	 	 	 1
melancholy	 	 	 	 6
memorandum	 	 	 	 1
mentioned	 	 	 	 3
mercia	 	 	 	 2
merely	 	 	 	 2
merrily	 	 	 	 1
messages	 	 	 	 2
met	 	 	 	 3
mice	 	 	 	 3
middle	 	 	 	 3
might	 	 	 	 27
mile	 	 	 	 2
miles	 	 	 	 3
milk	 	 	 	 1
millennium	 	 	 	 1
mind	 	 	 	 5
minded	 	 	 	 1
minding	 	 	 	 1
mine	 	 	 	 3
minute	 	 	 	 15
minutes	 	 	 	 7
miserable	 	 	 	 2
miss	 	 	 	 1
missed	 	 	 	 2
mistake	 	 	 	 2
mixed	 	 	 	 2
mock	 	 	 	 56
moment	 	 	 	 21
month	 	 	 	 1
moral	 	 	 	 6
morals	 	 	 	 1
more	 	 	 	 39
morning	 	 	 	 1
morsel	 	 	 	 1
most	 	 	 	 8
mostly	 	 	 	 1
mournful	 	 	 	 1
mouse	 	 	 	 20
mouth	 	 	 	 7
mouths	 	 	 	 1
move	 	 	 	 2
moved	 	 	 	 4
moving	 	 	 	 3
much	 	 	 	 40
muddle	 	 	 	 1
multiplication	 	 	 	 1
murder	 	 	 	 1
murdering	 	 	 	 1
muscular	 	 	 	 1
mushroom	 	 	 	 4
must	 	 	 	 42
mustard	 	 	 	 2
muttered	 	 	 	 2
muttering	 	 	 	 3
my	 	 	 	 56
myself	 	 	 	 2
name	 	 	 	 8
names	 	 	 	 1
narrow	 	 	 	 1
natural	 	 	 	 3
near	 	 	 	 14
nearer	 	 	 	 4
nearly	 	 	 	 10
neat	 	 	 	 1
neatly	 	 	 	 2
neck	 	 	 	 6
needs	 	 	 	 1
neighbour	 	 	 	 1
neighbouring	 	 	 	 1
neither	 	 	 	 2
nervous	 	 	 	 4
never	 	 	 	 40
nevertheless	 	 	 	 1
new	 	 	 	 5
next	 	 	 	 22
nibbled	 	 	 	 2
nibbling	 	 	 	 3
nice	 	 	 	 5
nicely	 	 	 	 2
night	 	 	 	 1
nile	 	 	 	 1
nine	 	 	 	 4
no	 	 	 	 67
nobody	 	 	 	 4
noise	 	 	 	 3
none	 	 	 	 3
nonsense	 	 	 	 1
nor	 	 	 	 2
nose	 	 	 	 1
not	 	 	 	 108
